Filename;Hidden Content Present;Estimated Size of Hidden Content (Bytes);Speed Hidden Content Present (ms);Speed Size Estimation (ms);Speed Recovering Hidden Content (ms)
035903.png;True;207;16,61;1,13;0,0
036095.png;True;154;16,41;0,94;0,0
036145.png;True;154;16,5;0,93;0,0
036275.png;True;160;16,62;0,95;0,0
036404.png;True;219;16,43;1,16;0,0
036583.png;True;154;16,54;0,93;0,0
036691.png;True;154;16,7;0,94;0,0
036692.png;True;154;16,61;0,94;0,0
036698.png;True;153;16,47;0,94;0,0
036728.png;True;155;16,78;0,95;0,0
036770.png;True;502;16,85;2,07;0,0
036869.png;True;227;16,64;1,16;0,0
036876.png;True;383;16,54;1,61;0,0
036906.png;True;154;17,53;0,94;0,0
036984.png;True;443;18,3;1,88;0,0
036991.png;True;223;17,57;1,81;0,0
037071.png;True;154;16,95;0,96;0,0
037114.png;True;154;16,91;0,95;0,0
037127.png;True;230;16,69;1,21;0,0
037136.png;True;154;16,58;0,94;0,0
037168.png;True;446;16,55;1,84;0,0
037314.png;True;155;16,51;0,93;0,0
037324.png;True;230;18,24;2,45;0,0
037328.png;True;140;18,67;0,96;0,0
037330.png;True;154;17,46;1,05;0,0
037366.png;True;120;16,98;0,75;0,0
037497.png;True;134;16,89;0,74;0,0
037500.png;True;154;16,9;0,96;0,0
037521.png;True;155;16,89;0,94;0,0
037534.png;True;669;16,55;2,52;0,0
037647.png;True;425;16,61;1,87;0,0
037660.png;True;130;16,58;0,72;0,0
037766.png;True;154;16,49;0,93;0,0
037879.png;True;154;17,33;0,94;0,0
037901.png;True;123;17,4;0,84;0,0
038031.png;True;331;16,48;1,41;0,0
038110.png;True;236;16,53;1,16;0,0
038135.png;True;446;16,53;1,83;0,0
038166.png;True;155;16,59;0,93;0,0
038191.png;True;154;16,46;0,93;0,0
038221.png;True;154;16,74;0,93;0,0
038235.png;True;154;16,68;0,93;0,0
038259.png;True;154;16,77;0,95;0,0
038268.png;True;152;16,63;0,93;0,0
038319.png;True;154;16,74;0,98;0,0
038418.png;True;157;16,49;0,93;0,0
038420.png;True;111;16,7;0,72;0,0
038479.png;True;154;17,06;0,97;0,0
038487.png;True;235;16,98;1,22;0,0
038512.png;True;154;16,89;0,94;0,0
038628.png;True;145;16,7;0,93;0,0
038666.png;True;154;17,0;0,93;0,0
038697.png;True;444;16,51;1,83;0,0
038792.png;True;154;16,51;1,05;0,0
038857.png;True;157;16,73;0,93;0,0
038862.png;True;137;16,48;0,92;0,0
038883.png;True;155;16,85;0,92;0,0
038904.png;True;154;19,25;0,95;0,0
038917.png;True;126;17,1;0,74;0,0
038924.png;True;154;16,87;0,96;0,0
038951.png;True;116;16,45;0,72;0,0
038973.png;True;154;16,93;0,94;0,0
038977.png;True;240;16,6;1,18;0,0
