Filename;Hidden Content Present;Estimated Size of Hidden Content (Bytes);Speed Hidden Content Present (ms);Speed Size Estimation (ms);Speed Recovering Hidden Content (ms)
035903.png;True;207;0,77;8006,2;3,45
036095.png;True;154;0,77;8245,5;0,6
036145.png;True;154;0,78;8164,08;0,59
036275.png;True;160;0,82;8088,45;0,61
036404.png;True;219;0,78;8106,76;0,85
036583.png;True;154;0,77;8063,48;0,6
036691.png;True;154;0,77;8136,32;0,6
036692.png;True;154;0,77;8149,0;0,64
036698.png;True;151;0,81;8162,01;0,57
036728.png;True;155;0,78;8093,54;0,6
036770.png;True;502;0,8;8079,79;1,89
036869.png;True;227;0,78;8068,95;0,87
036876.png;True;383;0,79;8051,93;1,45
036906.png;True;154;0,79;8101,04;0,59
036984.png;True;443;0,77;8068,2;1,66
036991.png;True;223;0,78;8145,91;0,88
037071.png;True;154;0,78;8113,77;0,58
037114.png;True;154;0,78;8100,2;0,58
037127.png;True;230;0,78;8096,53;0,89
037136.png;True;154;0,78;8051,11;0,72
037168.png;True;446;0,87;8121,13;1,65
037314.png;True;155;0,77;8080,25;0,6
037324.png;True;230;0,78;8119,09;0,87
037328.png;True;140;0,78;8113,71;0,57
037330.png;True;154;0,82;8108,01;0,6
037366.png;True;120;0,78;8092,75;0,46
037497.png;True;134;0,78;8092,2;0,52
037500.png;True;154;0,78;8112,68;0,61
037521.png;True;155;0,77;8132,5;0,6
037534.png;True;669;0,78;8084,09;2,57
037647.png;True;425;0,78;8161,93;1,59
037660.png;True;130;0,78;8088,65;0,51
037766.png;True;154;0,81;8117,14;0,61
037879.png;True;154;0,78;8108,17;0,59
037901.png;True;123;0,78;8128,3;0,48
038031.png;True;331;0,78;8159,85;1,29
038110.png;True;236;0,79;8522,82;0,91
038135.png;True;446;0,77;8347,93;1,71
038166.png;True;155;0,8;8348,37;0,61
038191.png;True;154;0,89;8408,69;0,59
038221.png;True;154;0,78;8088,96;0,59
038235.png;True;154;0,78;8123,79;0,59
038259.png;True;154;0,8;8090,59;0,59
038268.png;True;151;0,78;8109,25;0,58
038319.png;True;154;0,78;8164,55;0,59
038418.png;True;157;0,77;8101,24;0,6
038420.png;True;111;0,78;8105,03;0,43
038479.png;True;154;0,95;8074,76;0,61
038487.png;True;235;0,79;8130,61;0,91
038512.png;True;154;0,77;8086,08;0,59
038628.png;True;145;0,79;8093,45;0,59
038666.png;True;154;0,78;8107,01;0,6
038697.png;True;444;0,79;8106,1;1,66
038792.png;True;154;0,78;8078,67;0,59
038857.png;True;157;0,77;8099,03;0,6
038862.png;True;136;0,78;8140,16;0,53
038883.png;True;155;0,78;8081,01;0,59
038904.png;True;154;0,78;8126,15;0,61
038917.png;True;126;0,78;8149,6;0,49
038924.png;True;154;0,79;8140,82;0,6
038951.png;True;116;0,91;8085,85;0,44
038973.png;True;154;0,79;8137,08;0,59
038977.png;True;240;0,79;8099,67;0,91
038993.png;True;157;0,78;8085,36;0,6
039016.png;True;155;0,79;8092,95;0,6
039070.png;True;262;0,78;8147,7;0,98
039087.png;True;586;0,77;8144,73;2,27
039128.png;True;148;0,79;8110,23;0,56
039140.png;True;154;0,79;8183,58;0,62
039218.png;True;501;0,82;8194,14;1,86
039223.png;True;157;0,78;8102,57;0,61
039354.png;True;154;0,8;8473,23;0,6
039371.png;True;655;0,79;8210,95;2,43
039417.png;True;399;0,78;8203,25;1,53
039460.png;True;442;0,78;8144,49;1,66
039465.png;True;155;0,81;8149,91;0,62
039476.png;True;2246;0,81;8436,55;8,26
039617.png;True;446;0,78;8563,07;2,18
039670.png;True;230;1,15;8413,06;0,87
039678.png;True;154;0,79;8176,31;0,59
039686.png;True;122;0,79;8137,54;0,47
039720.png;True;157;0,79;8224,74;0,68
039748.png;True;237;0,78;8161,98;0,91
039863.png;True;290;0,79;8208,97;1,08
039981.png;True;155;0,82;8129,71;0,6
040000.png;True;132;0,78;8258,1;0,55
040021.png;True;232;0,86;8548,87;0,88
040035.png;True;234;0,89;8423,78;0,89
040076.png;True;225;0,79;8341,97;0,87
040120.png;True;228;0,82;8281,49;0,87
040198.png;True;114;0,79;8136,56;0,44
040245.png;True;524;0,79;8091,97;1,99
040260.png;True;154;0,82;8146,24;0,61
040296.png;True;155;0,78;8140,04;0,6
040301.png;True;230;0,82;8093,92;0,87
040356.png;True;157;0,79;8101,29;0,6
040364.png;True;122;0,79;8151,92;0,64
040389.png;True;232;0,78;8192,59;0,87
040441.png;True;154;0,8;8092,21;0,59
040472.png;True;266;0,79;8143,91;1,02
040522.png;True;148;0,79;8198,26;0,57
040542.png;True;154;0,98;8118,71;0,59
040581.png;True;154;0,79;8087,14;0,59
040595.png;True;236;0,79;8176,22;0,9
040641.png;True;111;0,8;8105,83;0,43
040712.png;True;2247;0,78;8085,36;8,34
040739.png;True;153;0,78;8088,44;0,66
040745.png;True;111;0,78;8119,31;0,43
040830.png;True;227;0,79;8087,31;0,87
040880.png;True;154;0,78;8116,09;0,61
040905.png;True;666;0,78;8122,92;2,43
040923.png;True;154;0,79;8135,5;0,59
040941.png;True;228;0,79;8105,94;0,87
041011.png;True;142;0,79;8119,68;0,55
041037.png;True;158;0,78;8131,0;0,62
041159.png;True;136;0,78;8104,51;0,52
041169.png;True;116;0,94;8113,89;0,44
041174.png;True;157;0,8;8150,47;1,94
041235.png;True;126;0,78;8255,58;0,5
041240.png;True;155;0,79;8091,65;0,61
041271.png;True;230;0,8;8108,77;0,88
041304.png;True;222;0,79;8119,54;0,84
041314.png;True;657;0,78;8090,74;2,39
041336.png;True;230;0,79;8103,8;0,94
041356.png;True;527;0,8;8045,43;1,95
041378.png;True;499;0,78;8162,19;1,86
041396.png;True;456;0,78;8081,24;1,69
041481.png;True;154;0,78;8148,18;0,59
041535.png;True;230;0,79;8404,21;0,9
041544.png;True;137;0,82;8306,63;0,53
041575.png;True;120;0,78;8444,2;0,47
041582.png;True;155;1,24;8587,64;0,61
041631.png;True;444;1,27;8652,56;1,69
041655.png;True;154;0,78;8435,99;0,61
041669.png;True;157;0,84;8477,67;0,88
041685.png;True;236;0,83;8479,43;0,89
041698.png;True;154;0,81;8445,94;0,6
041718.png;True;154;0,88;8397,27;0,59
041749.png;True;155;0,78;8130,79;0,6
041786.png;True;130;0,79;8176,71;0,53
041855.png;True;228;0,83;8209,5;1,06
041858.png;True;332;0,96;8390,61;1,31
