Injected File;Script;Script Size in Bytes
0_deobfuscated.png;0_deobfuscated;207
1000_deobfuscated.png;1000_deobfuscated;154
1001_deobfuscated.png;1001_deobfuscated;154
1002_deobfuscated.png;1002_deobfuscated;160
1003_deobfuscated.png;1003_deobfuscated;219
1004_deobfuscated.png;1004_deobfuscated;154
1005_deobfuscated.png;1005_deobfuscated;154
1006_deobfuscated.png;1006_deobfuscated;154
1007_deobfuscated.png;1007_deobfuscated;153
1008_deobfuscated.png;1008_deobfuscated;155
1009_deobfuscated.png;1009_deobfuscated;502
100_deobfuscated.png;100_deobfuscated;227
1010_deobfuscated.png;1010_deobfuscated;383
1011_deobfuscated.png;1011_deobfuscated;154
1012_deobfuscated.png;1012_deobfuscated;443
1013_deobfuscated.png;1013_deobfuscated;223
1014_deobfuscated.png;1014_deobfuscated;154
1015_deobfuscated.png;1015_deobfuscated;154
1016_deobfuscated.png;1016_deobfuscated;230
1017_deobfuscated.png;1017_deobfuscated;154
1018_deobfuscated.png;1018_deobfuscated;446
1019_deobfuscated.png;1019_deobfuscated;155
101_deobfuscated.png;101_deobfuscated;230
1020_deobfuscated.png;1020_deobfuscated;140
1021_deobfuscated.png;1021_deobfuscated;154
1022_deobfuscated.png;1022_deobfuscated;120
1023_deobfuscated.png;1023_deobfuscated;134
1024_deobfuscated.png;1024_deobfuscated;154
1025_deobfuscated.png;1025_deobfuscated;155
1026_deobfuscated.png;1026_deobfuscated;669
1027_deobfuscated.png;1027_deobfuscated;425
1028_deobfuscated.png;1028_deobfuscated;130
1029_deobfuscated.png;1029_deobfuscated;154
102_deobfuscated.png;102_deobfuscated;154
1030_deobfuscated.png;1030_deobfuscated;123
1031_deobfuscated.png;1031_deobfuscated;331
1032_deobfuscated.png;1032_deobfuscated;236
1033_deobfuscated.png;1033_deobfuscated;446
1034_deobfuscated.png;1034_deobfuscated;155
1035_deobfuscated.png;1035_deobfuscated;154
1036_deobfuscated.png;1036_deobfuscated;154
1037_deobfuscated.png;1037_deobfuscated;154
1038_deobfuscated.png;1038_deobfuscated;154
1039_deobfuscated.png;1039_deobfuscated;152
103_deobfuscated.png;103_deobfuscated;154
