Injected File;Script;Script Size in Bytes
008579.png;0_obfuscated;553
009804.png;1000_obfuscated;409
009995.png;1001_obfuscated;409
010092.png;1002_obfuscated;425
010149.png;1004_obfuscated;409
010175.png;1005_obfuscated;409
010191.png;1006_obfuscated;409
010258.png;1007_obfuscated;409
010263.png;1008_obfuscated;413
010285.png;1009_obfuscated;1337
010392.png;1011_obfuscated;409
010437.png;1012_obfuscated;1181
010513.png;1014_obfuscated;409
010517.png;1015_obfuscated;409
010573.png;1017_obfuscated;409
010729.png;1018_obfuscated;1189
010807.png;1019_obfuscated;413
010905.png;1020_obfuscated;373
011029.png;1021_obfuscated;409
011075.png;1022_obfuscated;380
011076.png;1024_obfuscated;409
011094.png;1025_obfuscated;413
011096.png;1027_obfuscated;1153
011107.png;1029_obfuscated;409
011152.png;102_obfuscated;409
011214.png;1030_obfuscated;385
011232.png;1033_obfuscated;1189
011318.png;1034_obfuscated;413
011354.png;1035_obfuscated;409
011400.png;1036_obfuscated;409
011493.png;1037_obfuscated;409
011631.png;1038_obfuscated;409
011653.png;1039_obfuscated;405
011832.png;103_obfuscated;409
011848.png;1040_obfuscated;417
011850.png;1041_obfuscated;297
011853.png;1042_obfuscated;409
011884.png;1044_obfuscated;409
011941.png;1046_obfuscated;409
011984.png;1047_obfuscated;1185
012011.png;1048_obfuscated;409
012022.png;1049_obfuscated;417
012023.png;1050_obfuscated;413
012035.png;1051_obfuscated;409
012113.png;1053_obfuscated;409
012207.png;1054_obfuscated;378
012213.png;1056_obfuscated;641
012230.png;1057_obfuscated;417
012273.png;1058_obfuscated;413
012302.png;1059_obfuscated;365
012353.png;105_obfuscated;1201
012356.png;1060_obfuscated;393
012370.png;1061_obfuscated;409
012447.png;1062_obfuscated;1337
012464.png;1063_obfuscated;417
012475.png;1064_obfuscated;409
012502.png;1066_obfuscated;1081
012634.png;1067_obfuscated;1177
012652.png;1068_obfuscated;413
012657.png;1069_obfuscated;5993
012700.png;106_obfuscated;1189
012733.png;1071_obfuscated;409
012862.png;1072_obfuscated;382
012885.png;1073_obfuscated;417
012973.png;1075_obfuscated;773
012978.png;1076_obfuscated;413
013054.png;107_obfuscated;601
013124.png;1080_obfuscated;609
013159.png;1081_obfuscated;305
013199.png;1082_obfuscated;1397
013222.png;1083_obfuscated;409
013325.png;1084_obfuscated;413
013354.png;1085_obfuscated;613
013604.png;1087_obfuscated;381
013654.png;1089_obfuscated;409
013669.png;108_obfuscated;709
013673.png;1091_obfuscated;413
013722.png;1092_obfuscated;409
013729.png;1093_obfuscated;629
013731.png;1094_obfuscated;297
013750.png;1095_obfuscated;5993
013766.png;1097_obfuscated;297
013808.png;1099_obfuscated;409
013817.png;10_obfuscated;409
013837.png;1100_obfuscated;609
013968.png;1101_obfuscated;377
014024.png;1102_obfuscated;421
014035.png;1104_obfuscated;378
014062.png;1105_obfuscated;417
014068.png;1107_obfuscated;413
014118.png;1111_obfuscated;1405
014126.png;1112_obfuscated;1329
014163.png;1113_obfuscated;1217
014176.png;1114_obfuscated;409
014193.png;1117_obfuscated;321
014206.png;1118_obfuscated;413
014311.png;1119_obfuscated;1185
014326.png;111_obfuscated;409
014352.png;1120_obfuscated;417
014384.png;1122_obfuscated;409
014394.png;1123_obfuscated;409
014432.png;1124_obfuscated;413
014558.png;1125_obfuscated;345
014604.png;1128_obfuscated;409
014610.png;1129_obfuscated;413
014698.png;1130_obfuscated;409
014809.png;1131_obfuscated;629
014813.png;1132_obfuscated;369
014827.png;1133_obfuscated;409
014908.png;1134_obfuscated;405
014944.png;1135_obfuscated;1189
014957.png;1136_obfuscated;2625
014972.png;1137_obfuscated;409
015000.png;1138_obfuscated;1177
015007.png;1139_obfuscated;493
015027.png;113_obfuscated;1181
015041.png;1140_obfuscated;1405
015127.png;1141_obfuscated;409
015159.png;1142_obfuscated;517
015172.png;1143_obfuscated;409
015257.png;1144_obfuscated;753
015345.png;1146_obfuscated;1185
015452.png;1149_obfuscated;417
015463.png;114_obfuscated;409
015524.png;1151_obfuscated;413
015554.png;1152_obfuscated;677
015567.png;1153_obfuscated;421
